,Tokens
34079,this
34080,module: werkzeug.utils. (now in werkzeug.urls)
34081,The
34082,function
34083,you
34084,are
34085,looking
34086,for
34087,is
34088,called
34089,"""url_fix"""
34090,and
34091,works
34092,like
34093,this
34094,:
34095,It
34096,'s
34097,implemented
34098,in
34099,Werkzeug
34100,as
34101,follows
34102,:
34103,Real
34104,fix
34105,in
34106,Python
34107,2
34108,.7
34109,for
34110,that
34111,problem
34112,Right
34113,solution
34114,was
34115,:
34116,For
34117,more
34118,information
34119,see
34120,Issue918368
34121,:
34122,"""urllib"
34123,doesn
34124,'t
34125,correct
34126,server
34127,returned
34128,urls
34129,""""
34130,This
34131,quotes
34132,only
34133,the
34134,path
34135,component
34136,.
34137,Otherwise
34138,","
34139,you
34140,could
34141,"do: urllib.quote(url, safe="":/"")"
34142,Valid
34143,for
34144,Python
34145,3
34146,.5:
34147,example
34148,:
34149,the
34150,output
34151,will
34152,be
34153,http
34154,://www.example.com/foo%20goo/bar.html
34155,Font
34156,:
34157,https
34158,://docs.python.org/3.5/library/urllib.parse.html?highlight=quote#urllib.parse.quote
34159,How
34160,do
34161,I
34162,get
34163,the
34164,modified
34165,date
34166,/time
34167,of
34168,a
34169,file
34170,in
34171,Python
34172,?
34173,or
34174,Formated
34175,:
34176,When
34177,you
34178,call
34179,the
34180,object
34181,.__repr__()
34182,method
34183,in
34184,Python
34185,you
34186,get
34187,something
34188,like
34189,this
34190,"back: 
<main.Test object at 0x2aba1c0cf890> 
Is there any way to get a hold of the memory address if you overload __repr__()"
34191,","
34192,other
34193,then
34194,calling
34195,super
34196,"(Class,"
34197,obj
34198,).__repr__()
34199,and
34200,regexing
34201,it
34202,out
34203,?
34204,You
34205,could
34206,reimplement
34207,the
34208,default
34209,repr
34210,this
34211,way
34212,:
34213,There
34214,are
34215,a
34216,few
34217,issues
34218,here
34219,that
34220,aren
34221,'t
34222,covered
34223,by
34224,any
34225,of
34226,the
34227,other
34228,answers
34229,.
34230,First
34231,","
34232,id
34233,only
34234,"returns:
the “identity” of an object. This is an integer (or long integer)"
34235,which
34236,is
34237,guaranteed
34238,to
34239,be
34240,unique
34241,and
34242,constant
34243,for
34244,this
34245,object
34246,during
34247,its
34248,lifetime
34249,.
34250,Two
34251,objects
34252,with
34253,non
34254,-overlapping
34255,lifetimes
34256,may
34257,have
34258,the
34259,same
34260,id
34261,()
34262,value
34263,.
34264,In
34265,CPython
34266,","
34267,this
34268,happens
34269,to
34270,be
34271,the
34272,pointer
34273,to
34274,the
34275,PyObject
34276,that
34277,represents
34278,the
34279,object
34280,in
34281,the
34282,interpreter
34283,","
34284,which
34285,is
34286,the
34287,same
34288,thing
34289,that
34290,object
34291,.__repr__
34292,displays
34293,.
34294,But
34295,this
34296,is
34297,just
34298,an
34299,implementation
34300,detail
34301,of
34302,CPython
34303,","
34304,not
34305,something
34306,that
34307,'s
34308,true
34309,of
34310,Python
34311,in
34312,general
34313,.
34314,Jython
34315,doesn
34316,'t
34317,deal
34318,in
34319,pointers
34320,","
34321,it
34322,deals
34323,in
34324,Java
34325,references
34326,(which
34327,the
34328,JVM
34329,of
34330,course
34331,probably
34332,represents
34333,as
34334,pointers
34335,","
34336,but
34337,you
34338,can
34339,'t
34340,see
34341,those
34342,—and
34343,wouldn
34344,'t
34345,want
34346,to
34347,","
34348,because
34349,the
34350,GC
34351,is
34352,allowed
34353,to
34354,move
34355,them
34356,around
34357,).
34358,PyPy
34359,lets
34360,different
34361,types
34362,have
34363,different
34364,kinds
34365,of
34366,id
34367,","
34368,but
34369,the
34370,most
34371,general
34372,is
34373,just
34374,an
34375,index
34376,into
34377,a
34378,table
34379,of
34380,objects
34381,you
34382,'ve
34383,called
34384,id
34385,on
34386,","
34387,which
34388,is
34389,obviously
34390,not
34391,going
34392,to
34393,be
34394,a
34395,pointer
34396,.
34397,I
34398,'m
34399,not
34400,sure
34401,about
34402,IronPython
34403,","
34404,but
34405,I
34406,'d
34407,suspect
34408,it
34409,'s
34410,more
34411,like
34412,Jython
34413,than
34414,like
34415,CPython
34416,in
34417,this
34418,regard
34419,.
34420,So
34421,","
34422,in
34423,most
34424,Python
34425,implementations
34426,","
34427,there
34428,'s
34429,no
34430,way
34431,to
34432,get
34433,whatever
34434,showed
34435,up
34436,in
34437,that
34438,repr
34439,","
34440,and
34441,no
34442,use
34443,if
34444,you
34445,did
34446,.
34447,But
34448,what
34449,if
34450,you
34451,only
34452,care
34453,about
34454,CPython
34455,?
34456,That
34457,'s
34458,a
34459,pretty
34460,common
34461,case
34462,","
34463,after
34464,all
34465,.
34466,Well
34467,","
34468,first
34469,","
34470,you
34471,may
34472,notice
34473,that
34474,id
34475,is
34476,an
34477,integer
34478,;*
34479,if
34480,you
34481,want
34482,that
34483,0x2aba1c0cf890
34484,string
34485,instead
34486,of
34487,the
34488,number
34489,46978822895760
34490,","
34491,you
34492,'re
34493,going
34494,to
34495,have
34496,to
34497,format
34498,it
34499,yourself
34500,.
34501,Under
34502,the
34503,covers
34504,","
34505,I
34506,believe
34507,object
34508,.__repr__
34509,is
34510,ultimately
34511,using
34512,printf
34513,'s
34514,%p
34515,format
34516,","
34517,which
34518,you
34519,don
34520,'t
34521,have
34522,from
34523,Python
34524,…
34525,but
34526,you
34527,can
34528,always
34529,do
34530,"this:
* In 3.x, it's an int. In 2.x, it's an int if that's big enough to hold a pointer—which is may not be because of signed number issues on some platforms—and a long otherwise.
Is there anything you can do with these pointers besides print them out? Sure (again, assuming you only care about CPython)"
34531,.
34532,All
34533,of
34534,the
34535,C
34536,API
34537,functions
34538,take
34539,a
34540,pointer
34541,to
34542,a
34543,PyObject
34544,or
34545,a
34546,related
34547,type
34548,.
34549,For
34550,those
34551,related
34552,types
34553,","
34554,you
34555,can
34556,just
34557,call
34558,PyFoo_Check
34559,to
34560,make
34561,sure
34562,it
34563,really
34564,is
34565,a
34566,Foo
34567,object
34568,","
34569,then
34570,cast
34571,with
34572,(PyFoo
34573,*)p.
34574,So
34575,","
34576,if
34577,you
34578,'re
34579,writing
34580,a
34581,C
34582,extension
34583,","
34584,the
34585,id
34586,is
34587,exactly
34588,what
34589,you
34590,need
34591,.
34592,What
34593,if
34594,you
34595,'re
34596,writing
34597,pure
34598,Python
34599,code
34600,?
34601,You
34602,can
34603,call
34604,the
34605,exact
34606,same
34607,functions
34608,with
34609,pythonapi
34610,from
34611,ctypes
34612,.
34613,Finally
34614,","
34615,a
34616,few
34617,of
34618,the
34619,other
34620,answers
34621,have
34622,brought
34623,up
34624,ctypes
34625,.addressof.
34626,That
34627,isn
34628,'t
34629,relevant
34630,here
34631,.
34632,This
34633,only
34634,works
34635,for
34636,ctypes
34637,objects
34638,like
34639,c_int32
34640,(and
34641,maybe
34642,a
34643,few
34644,memory
34645,-buffer-like
34646,objects
34647,","
34648,like
34649,those
34650,provided
34651,by
34652,numpy
34653,).
34654,And
34655,","
34656,even
34657,there
34658,","
34659,it
34660,isn
34661,'t
34662,giving
34663,you
34664,the
34665,address
34666,of
34667,the
34668,c_int32
34669,value
34670,","
34671,it
34672,'s
34673,giving
34674,you
34675,the
34676,address
34677,of
34678,the
34679,C
34680,-level
34681,int32
34682,that
34683,the
34684,c_int32
34685,wraps
34686,up
34687,.
34688,That
34689,being
34690,said
34691,","
34692,more
34693,often
34694,than
34695,not
34696,","
34697,if
34698,you
34699,really
34700,think
34701,you
34702,need
34703,the
34704,address
34705,of
34706,something
34707,","
34708,you
34709,didn
34710,'t
34711,want
34712,a
34713,native
34714,Python
34715,object
34716,in
34717,the
34718,first
34719,place
34720,","
34721,you
34722,wanted
34723,a
34724,ctypes
34725,object
34726,.
34727,With
34728,ctypes
34729,","
34730,you
34731,can
34732,achieve
34733,the
34734,same
34735,thing
34736,with
34737,"Documentation:
addressof(C instance)"
34738,->
34739,integer
34740,Return
34741,the
34742,address
34743,of
34744,the
34745,C
34746,instance
34747,internal
34748,buffer
34749,Note
34750,that
34751,in
34752,CPython
34753,","
34754,currently
34755,id
34756,(a)
34757,==
34758,ctypes
34759,".addressof(a),"
34760,but
34761,ctypes
34762,.addressof
34763,should
34764,return
34765,the
34766,real
34767,address
34768,for
34769,each
34770,Python
34771,implementation
34772,","
34773,if
34774,ctypes
34775,is
34776,supported
34777,memory
34778,pointers
34779,are
34780,a
34781,valid
34782,notion
34783,.
34784,Edit
34785,:
34786,added
34787,information
34788,about
34789,interpreter
34790,-independence
34791,of
34792,ctypes
34793,Just
34794,use
34795,You
34796,can
34797,get
34798,something
34799,suitable
34800,for
34801,that
34802,purpose
34803,with
34804,:
34805,While
34806,it
34807,'s
34808,true
34809,that
34810,id
34811,(object)
34812,gets
34813,the
34814,object
34815,'s
34816,address
34817,in
34818,the
34819,default
34820,CPython
34821,implementation
34822,","
34823,this
34824,is
34825,generally
34826,useless
34827,...
34828,you
34829,can
34830,'t
34831,do
34832,anything
34833,with
34834,the
34835,address
34836,from
34837,pure
34838,Python
34839,code
34840,.
34841,The
34842,only
34843,time
34844,you
34845,would
34846,actually
34847,be
34848,able
34849,to
34850,use
34851,the
34852,address
34853,is
34854,from
34855,a
34856,C
34857,extension
34858,library
34859,...
34860,in
34861,which
34862,case
34863,it
34864,is
34865,trivial
34866,to
34867,get
34868,the
34869,object
34870,'s
34871,address
34872,since
34873,Python
34874,objects
34875,are
34876,always
34877,passed
34878,around
34879,as
34880,C
34881,pointers
34882,.
34883,The
34884,Python
34885,manual
34886,has
34887,this
34888,to
34889,say
34890,about
34891,id
34892,():
34893,Return
34894,the
34895,``identity''
34896,of
34897,an
34898,object
34899,.
34900,This
34901,is
34902,an
34903,integer
34904,(or
34905,long
34906,integer
34907,)
34908,which
34909,is
34910,guaranteed
34911,to
34912,be
34913,unique
34914,and
34915,constant
34916,for
34917,this
34918,object
34919,during
34920,its
34921,lifetime
34922,.
34923,Two
34924,objects
34925,with
34926,non
34927,-overlapping
34928,lifetimes
34929,may
34930,have
34931,the
34932,same
34933,id
34934,()
34935,value
34936,.
34937,(Implementation
34938,"note:
  this is the address of the object.)"
34939,So
34940,in
34941,CPython
34942,","
34943,this
34944,will
34945,be
34946,the
34947,address
34948,of
34949,the
34950,object
34951,.
34952,No
34953,such
34954,guarantee
34955,for
34956,any
34957,other
34958,Python
34959,interpreter
34960,","
34961,though
34962,.
34963,Note
34964,that
34965,if
34966,you
34967,'re
34968,writing
34969,a
34970,C
34971,extension
34972,","
34973,you
34974,have
34975,full
34976,access
34977,to
34978,the
34979,internals
34980,of
34981,the
34982,Python
34983,interpreter
34984,","
34985,including
34986,access
34987,to
34988,the
34989,addresses
34990,of
34991,objects
34992,directly
34993,.
34994,Just
34995,in
34996,response
34997,to
34998,Torsten
34999,","
35000,I
35001,wasn
35002,'t
35003,able
35004,to
35005,call
35006,addressof
35007,()
35008,on
35009,a
35010,regular
35011,python
35012,object
35013,.
35014,Furthermore
35015,","
35016,id
35017,(a)
35018,!=
35019,addressof
35020,(a).
35021,This
35022,is
35023,in
35024,CPython
35025,","
35026,don
35027,'t
35028,know
35029,about
35030,anything
35031,else
35032,.
35033,I
35034,'m
35035,running
35036,Django
35037,1
35038,.0
35039,and
35040,I
35041,'m
35042,close
35043,to
35044,deploying
35045,my
35046,app
35047,.
35048,As
35049,such
35050,","
35051,I
35052,'ll
35053,be
35054,changing
35055,the
35056,DEBUG
35057,setting
35058,to
35059,False
35060,.
35061,With
35062,that
35063,being
35064,said
35065,","
35066,I
35067,'d
35068,still
35069,like
35070,to
35071,include
35072,the
35073,stacktrace
35074,on
35075,my
35076,500
35077,.html
35078,page
35079,when
35080,errors
35081,occur
35082,.
35083,By
35084,doing
35085,so
35086,","
35087,users
35088,can
35089,copy
35090,-and-paste
35091,the
35092,errors
35093,and
35094,easily
35095,email
35096,them
35097,to
35098,the
35099,developers
35100,.
35101,Any
35102,thoughts
35103,on
35104,how
35105,best
35106,to
35107,approach
35108,this
35109,issue
35110,?
35111,I
35112,know
35113,this
35114,is
35115,an
35116,old
35117,question
35118,","
35119,but
35120,these
35121,days
35122,I
35123,would
35124,recommend
35125,using
35126,a
35127,service
35128,such
35129,as
35130,Sentry
35131,to
35132,capture
35133,your
35134,errors
35135,.
35136,On
35137,Django
35138,","
35139,the
35140,steps
35141,to
35142,set
35143,this
35144,up
35145,are
35146,incredibly
35147,simple
35148,.
35149,From
35150,the
35151,"docs:
Install Raven using pip install raven
Add 'raven.contrib.django.raven_compat' to your settings.INSTALLED_APPS.
Add RAVEN_CONFIG = {""dsn"": YOUR_SENTRY_DSN} to your settings.
Then, on your 500 page (defined in handler500)"
35152,","
35153,pass
35154,the
35155,request
35156,.sentry.id
35157,to
35158,the
35159,template
35160,and
35161,your
35162,users
35163,can
35164,reference
35165,the
35166,specific
35167,error
35168,without
35169,any
35170,of
35171,your
35172,internals
35173,being
35174,exposed
35175,.
35176,If
35177,we
35178,want
35179,to
35180,show
35181,exceptions
35182,which
35183,are
35184,generated
35185,","
35186,on
35187,ur
35188,template
35189,(500.html)
35190,then
35191,we
35192,could
35193,write
35194,your
35195,own
35196,500
35197,view
35198,","
35199,grabbing
35200,the
35201,exception
35202,and
35203,passing
35204,it
35205,to
35206,your
35207,500
35208,template
35209,.
35210,"Steps:
#.In views.py:
},RequestContext(request)"
35211,)))
35212,#.In
35213,Main
35214,Urls
35215,.py:
35216,#.In
35217,Template
35218,(500.html):
35219,more
35220,about
35221,it
35222,here
35223,:
35224,https
35225,://docs.djangoproject.com/en/dev/topics/http/views/#the-500-server-error-view
35226,Automatically
35227,log
35228,your
35229,500s
35230,","
35231,that
35232,"way:
You know when they occur.
You don't need to rely on users sending you stacktraces.
Joel recommends even going so far as automatically creating tickets in your bug tracker when your application experiences a failure. Personally, I create a (private)"
35233,RSS
35234,feed
35235,with
35236,the
35237,stacktraces
35238,","
35239,urls
35240,","
35241,etc
35242,.
35243,that
35244,the
35245,developers
35246,can
35247,subscribe
35248,to
35249,.
35250,Showing
35251,stack
35252,traces
35253,to
35254,your
35255,users
35256,on
35257,the
35258,other
35259,hand
35260,could
35261,possibly
35262,leak
35263,information
35264,that
35265,malicious
35266,users
35267,could
35268,use
35269,to
35270,attack
35271,your
35272,site
35273,.
35274,Overly
35275,detailed
35276,error
35277,messages
35278,are
35279,one
35280,of
35281,the
35282,classic
35283,stepping
35284,stones
35285,to
35286,SQL
35287,injection
35288,attacks
35289,.
35290,Edit
35291,(added
35292,code
35293,sample
35294,to
35295,capture
35296,traceback
35297,):
35298,You
35299,can
35300,get
35301,the
35302,exception
35303,information
35304,from
35305,the
35306,sys
35307,.exc_info
35308,call
35309,.
35310,While
35311,formatting
35312,the
35313,traceback
35314,for
35315,display
35316,comes
35317,from
35318,the
35319,traceback
35320,module
35321,:
35322,Prints
35323,:
35324,As
35325,@zacherates
35326,says
35327,","
35328,you
35329,really
35330,don
35331,'t
35332,want
35333,to
35334,display
35335,a
35336,stacktrace
35337,to
35338,your
35339,users
35340,.
35341,The
35342,easiest
35343,approach
35344,to
35345,this
35346,problem
35347,is
35348,what
35349,Django
35350,does
35351,by
35352,default
35353,if
35354,you
35355,have
35356,yourself
35357,and
35358,your
35359,developers
35360,listed
35361,in
35362,the
35363,ADMINS
35364,setting
35365,with
35366,email
35367,addresses
35368,;
35369,it
35370,sends
35371,an
35372,email
35373,to
35374,everyone
35375,in
35376,that
35377,list
35378,with
35379,the
35380,full
35381,stack
35382,trace
35383,(and
35384,more
35385,)
35386,everytime
35387,there
35388,is
35389,a
35390,500
35391,error
35392,with
35393,DEBUG = False
35394,.
35395,You
35396,could
35397,call
35398,sys
35399,.exc_info()
35400,in
35401,a
35402,custom
35403,exception
35404,handler
35405,.
35406,But
35407,I
35408,don
35409,'t
35410,recommend
35411,that
35412,.
35413,Django
35414,can
35415,send
35416,you
35417,emails
35418,for
35419,exceptions
35420,.
35421,I
35422,will
35423,forgo
35424,the
35425,simplest
35426,solutions
35427,using
35428,the
35429,'random'
35430,module
35431,since
35432,I
35433,take
35434,it
35435,that
35436,'s
35437,not
35438,really
35439,what
35440,you
35441,are
35442,after
35443,.
35444,Here
35445,'s
35446,what
35447,I
35448,think
35449,you
35450,are
35451,looking
35452,for
35453,in
35454,Python
35455,:
35456,To
35457,show
35458,you
35459,how
35460,it
35461,works
35462,:
35463,Python
35464,with
35465,Numeric
35466,Python
35467,:
35468,VoilÃ
35469,!
35470,Sure
35471,you
35472,could
35473,do
35474,something
35475,similar
35476,in
35477,a
35478,functional
35479,programming
35480,style
35481,but
35482,...
35483,why
35484,?
35485,Yesterday
35486,","
35487,I
35488,asked
35489,this
35490,question
35491,and
35492,never
35493,really
35494,got
35495,an
35496,answer
35497,I
35498,was
35499,really
35500,happy
35501,with
35502,.
35503,I
35504,really
35505,would
35506,like
35507,to
35508,know
35509,how
35510,to
35511,generate
35512,a
35513,list
35514,of
35515,N
35516,unique
35517,random
35518,numbers
35519,using
35520,a
35521,functional
35522,language
35523,such
35524,as
35525,Ruby
35526,without
35527,having
35528,to
35529,be
35530,extremely
35531,imperative
35532,in
35533,style
35534,.
35535,Since
35536,I
35537,didn
35538,'t
35539,see
35540,anything
35541,I
35542,really
35543,liked
35544,","
35545,I
35546,'ve
35547,written
35548,the
35549,solution
35550,I
35551,was
35552,looking
35553,for
35554,in
35555,"LINQ:   
Can you translate my LINQ to Ruby? Python? Any other functional programming language?
Note: Please try not to use too many loops and conditionals - otherwise the solution is trivial. Also, I'd rather see a solution where you don't have to generate an array much bigger than N so you can then just remove the duplicates and trim it down to N.
I know I'm being picky, but I'd really like to see some elegant solutions to this problem.
Thanks!
Edit:
Why all the downvotes? 
Originally my code sample had the Distinct()"
35556,after
35557,the
35558,Take
35559,()
35560,which
35561,","
35562,as
35563,many
35564,pointed
35565,out
35566,","
35567,could
35568,leave
35569,me
35570,with
35571,an
35572,empty
35573,list
35574,.
35575,I
35576,'ve
35577,changed
35578,the
35579,order
35580,in
35581,which
35582,those
35583,methods
35584,are
35585,called
35586,to
35587,reflect
35588,what
35589,I
35590,meant
35591,in
35592,the
35593,first
35594,place
35595,.
35596,"Apology:
I've been told this post came across as rather snobbish. I wasn't trying to imply that LINQ is better than Ruby/Python; or that my solution is much better than everyone else's. My intent is just to learn how to do this (with certain constraints)"
35597,in
35598,Ruby
35599,.
35600,I
35601,'m
35602,sorry
35603,if
35604,I
35605,came
35606,across
35607,as
35608,a
35609,jerk
35610,.
35611,Here
35612,'s
35613,another
35614,Ruby
35615,solution
35616,:
35617,I
35618,think
35619,","
35620,with
35621,your
35622,LINQ
35623,statement
35624,","
35625,the
35626,Distinct
35627,will
35628,remove
35629,duplicates
35630,after
35631,5
35632,have
35633,already
35634,been
35635,taken
35636,","
35637,so
35638,you
35639,aren
35640,'t
35641,guaranteed
35642,to
35643,get
35644,5
35645,back
35646,.
35647,Someone
35648,can
35649,correct
35650,me
35651,if
35652,I
35653,'m
35654,wrong
35655,","
35656,though
35657,.
35658,EDIT
35659,:
35660,Ok
35661,","
35662,just
35663,for
35664,fun
35665,","
35666,a
35667,shorter
35668,and
35669,faster
35670,one
35671,(and
35672,still
35673,using
35674,iterators
35675,).
35676,Yeah
35677,","
35678,I
35679,know
35680,","
35681,one
35682,-liners
35683,should
35684,be
35685,left
35686,to
35687,perl
35688,lovers
35689,","
35690,but
35691,I
35692,think
35693,this
35694,one
35695,is
35696,quite
35697,powerful
35698,isn
35699,'t
35700,it
35701,?
35702,Old
35703,message
35704,here
35705,:
35706,My
35707,god
35708,","
35709,how
35710,complicated
35711,is
35712,all
35713,that
35714,!
35715,Let
35716,'s
35717,be
35718,pythonic
35719,:
35720,Enjoy
35721,EDIT
35722,:
35723,As
35724,commentators
35725,noticed
35726,","
35727,this
35728,is
35729,an
35730,exact
35731,translation
35732,of
35733,the
35734,question
35735,'s
35736,code
35737,.
35738,To
35739,avoid
35740,the
35741,problem
35742,we
35743,got
35744,by
35745,removing
35746,duplicates
35747,after
35748,generating
35749,the
35750,list
35751,","
35752,resulting
35753,in
35754,too
35755,little
35756,data
35757,","
35758,you
35759,can
35760,choose
35761,another
35762,way
35763,:
35764,Here
35765,'s
35766,a
35767,transliteration
35768,from
35769,your
35770,solution
35771,to
35772,Python
35773,.
35774,First
35775,","
35776,a
35777,generator
35778,that
35779,creates
35780,Random
35781,numbers
35782,.
35783,This
35784,isn
35785,'t
35786,very
35787,Pythonic
35788,","
35789,but
35790,it
35791,'s
35792,a
35793,good
35794,match
35795,with
35796,your
35797,sample
35798,code
35799,.
35800,Here
35801,'s
35802,a
35803,client
35804,loop
35805,that
35806,collects
35807,a
35808,set
35809,of
35810,5
35811,distinct
35812,values
35813,.
35814,This
35815,is
35816,--
35817,again
35818,--
35819,not
35820,the
35821,most
35822,Pythonic
35823,implementation
35824,.
35825,It
35826,'s
35827,not
35828,clear
35829,why
35830,you
35831,want
35832,to
35833,use
35834,a
35835,generator
35836,for
35837,random
35838,numbers
35839,--
35840,that
35841,'s
35842,one
35843,of
35844,the
35845,few
35846,things
35847,that
35848,'s
35849,so
35850,simple
35851,that
35852,a
35853,generator
35854,doesn
35855,'t
35856,simplify
35857,it
35858,.
35859,A
35860,more
35861,Pythonic
35862,version
35863,might
35864,be
35865,something
35866,like
35867,:
35868,If
35869,the
35870,requirements
35871,are
35872,to
35873,generate
35874,5
35875,values
35876,and
35877,find
35878,distinct
35879,among
35880,those
35881,5
35882,","
35883,then
35884,something
35885,like
35886,I
35887,can
35888,'t
35889,really
35890,read
35891,your
35892,LINQ
35893,","
35894,but
35895,I
35896,think
35897,you
35898,'re
35899,trying
35900,to
35901,get
35902,5
35903,random
35904,numbers
35905,up
35906,to
35907,100
35908,and
35909,then
35910,remove
35911,duplicates
35912,.
35913,Here
35914,'s
35915,a
35916,solution
35917,for
35918,that
35919,:
35920,But
35921,perhaps
35922,you
35923,'re
35924,actually
35925,looking
35926,for
35927,5
35928,distinct
35929,random
35930,numbers
35931,between
35932,0
35933,and
35934,100
35935,.
35936,In
35937,which
35938,case
35939,:
35940,Now
35941,","
35942,this
35943,one
35944,might
35945,violate
35946,your
35947,sense
35948,of
35949,"""not"
35950,too
35951,many
35952,loops
35953,","""
35954,but
35955,presumably
35956,Take
35957,and
35958,Distinct
35959,are
35960,just
35961,hiding
35962,the
35963,looping
35964,from
35965,you
35966,.
35967,It
35968,would
35969,be
35970,easy
35971,enough
35972,to
35973,just
35974,add
35975,methods
35976,to
35977,Enumerable
35978,to
35979,hide
35980,the
35981,while
35982,loop
35983,.
35984,Maybe
35985,this
35986,will
35987,suit
35988,your
35989,needs
35990,and
35991,look
35992,a
35993,bit
35994,more
35995,linqish
35996,:
35997,Here
35998,'s
35999,another
36000,python
36001,version
36002,","
36003,more
36004,closely
36005,matching
36006,the
36007,structure
36008,of
36009,your
36010,C
36011,#
36012,code
36013,.
36014,There
36015,isn
36016,'t
36017,a
36018,builtin
36019,for
36020,giving
36021,distinct
36022,results
36023,","
36024,so
36025,I
36026,'ve
36027,added
36028,a
36029,function
36030,to
36031,do
36032,this
36033,.
36034,In
36035,Ruby
36036,1
36037,.9:
36038,In
36039,"Ruby:
Update: Here is a slightly different way:
    a = (0...100)"
36040,.entries.sort_by{rand}[0...5]
36041,EDIT
36042,:
36043,and
36044,In
36045,Ruby
36046,1
36047,.9
36048,you
36049,can
36050,do
36051,this
36052,:
36053,Hmm
36054,...
36055,How
36056,about
36057,(Python):
36058,This
36059,should
36060,yield
36061,5
36062,unique
36063,values
36064,in
36065,the
36066,range
36067,0
36068,â
36069,€”
36070,99
36071,.
36072,The
36073,xrange
36074,object
36075,generates
36076,values
36077,as
36078,requested
36079,so
36080,no
36081,memory
36082,is
36083,used
36084,for
36085,values
36086,that
36087,aren
36088,'t
36089,sampled
36090,.
36091,Well
36092,","
36093,first
36094,you
36095,rewrite
36096,LINQ
36097,in
36098,Python
36099,.
36100,Then
36101,your
36102,solution
36103,is
36104,a
36105,one
36106,-liner
36107,:)
36108,If
36109,you
36110,put
36111,all
36112,the
36113,simple
36114,methods
36115,above
36116,into
36117,a
36118,module
36119,called
36120,LINQ
36121,".py,"
36122,you
36123,can
36124,impress
36125,your
36126,friends
36127,.
36128,(Disclaimer:
36129,of
36130,course
36131,","
36132,this
36133,is
36134,not
36135,actually
36136,rewriting
36137,LINQ
36138,in
36139,Python
36140,.
36141,People
36142,have
36143,the
36144,misconception
36145,that
36146,LINQ
36147,is
36148,just
36149,a
36150,bunch
36151,of
36152,trivial
36153,extension
36154,methods
36155,and
36156,some
36157,new
36158,syntax
36159,.
36160,The
36161,really
36162,advanced
36163,part
36164,of
36165,LINQ
36166,","
36167,however
36168,","
36169,is
36170,automatic
36171,SQL
36172,generation
36173,so
36174,that
36175,when
36176,you
36177,'re
36178,querying
36179,a
36180,database
36181,","
36182,it
36183,'s
36184,the
36185,database
36186,that
36187,implements
36188,Distinct
36189,()
36190,rather
36191,than
36192,the
36193,client
36194,side
36195,.)
36196,Yeah
36197,","
36198,it
36199,'s
36200,kind
36201,of
36202,annoying
36203,.
36204,Perhaps
36205,this
36206,will
36207,work
36208,for
36209,your
36210,case
36211,.
36212,EDIT
36213,:
36214,Brian
36215,correctly
36216,pointed
36217,out
36218,that
36219,my
36220,first
36221,attempt
36222,did
36223,not
36224,work
36225,.
36226,Unfortunately
36227,","
36228,this
36229,attempt
36230,is
36231,longer
36232,.
36233,My
36234,solution
36235,would
36236,be
36237,:
36238,I
36239,'d
36240,suggest
36241,this
36242,","
36243,as
36244,it
36245,uses
36246,the
36247,least
36248,regex
36249,to
36250,accomplish
36251,your
36252,goal
36253,.
36254,It
36255,is
36256,still
36257,functional
36258,code
36259,","
36260,but
36261,no
36262,worse
36263,then
36264,your
36265,old
36266,Perl
36267,.
36268,Alternatively
36269,","
36270,something
36271,not
36272,using
36273,regular
36274,expressions
36275,at
36276,all
36277,:
36278,Whether
36279,that
36280,is
36281,suitable
36282,depends
36283,on
36284,your
36285,actual
36286,problem
36287,.
36288,Don
36289,'t
36290,forget
36291,","
36292,regular
36293,expressions
36294,aren
36295,'t
36296,the
36297,swiss
36298,army
36299,knife
36300,that
36301,they
36302,are
36303,in
36304,Perl
36305,;
36306,Python
36307,has
36308,different
36309,constructs
36310,for
36311,doing
36312,string
36313,manipulation
36314,.
36315,Using
36316,named
36317,groups
36318,and
36319,a
36320,dispatch
36321,table
36322,:
36323,With
36324,a
36325,little
36326,bit
36327,of
36328,introspection
36329,you
36330,can
36331,auto
36332,-generate
36333,the
36334,regexp
36335,and
36336,the
36337,dispatch
36338,table
36339,.
36340,For
36341,example
36342,:
36343,To
36344,speed
36345,it
36346,up
36347,","
36348,one
36349,could
36350,turn
36351,all
36352,regexes
36353,into
36354,one
36355,internally
36356,and
36357,create
36358,the
36359,dispatcher
36360,on
36361,the
36362,fly
36363,.
36364,Ideally
36365,","
36366,this
36367,would
36368,be
36369,turned
36370,into
36371,a
36372,class
36373,then
36374,.
36375,Expanding
36376,on
36377,the
36378,solution
36379,by
36380,Pat
36381,Notz
36382,a
36383,bit
36384,","
36385,I
36386,found
36387,it
36388,even
36389,the
36390,more
36391,elegant
36392,"to:
  - name the methods the same as re provides (e.g. search()"
36393,vs
36394,.
36395,check
36396,())
36397,and
36398,-
36399,implement
36400,the
36401,necessary
36402,methods
36403,like
36404,group
36405,()
36406,on
36407,the
36408,holder
36409,object
36410,itself
36411,:
36412,Example
36413,Instead
36414,of
36415,e
36416,.g.
36417,this
36418,:
36419,One
36420,does
36421,just
36422,this
36423,:
36424,Looks
36425,very
36426,natural
36427,in
36428,the
36429,end
36430,","
36431,does
36432,not
36433,need
36434,too
36435,many
36436,code
36437,changes
36438,when
36439,moving
36440,from
36441,Perl
36442,and
36443,avoids
36444,the
36445,problems
36446,with
36447,global
36448,state
36449,like
36450,some
36451,other
